Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",18.669000,-88.011000,180.000000,bottom
"C2","22pF","C_0805_2012Metric",18.669000,-81.661000,0.000000,bottom
"C3","1uF","C_0805_2012Metric",22.098000,-93.901500,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",12.700000,-92.885500,270.000000,bottom
"C5","0.1uF","C_0805_2012Metric",17.399000,-92.885500,90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",14.986000,-92.885500,90.000000,bottom
"C7","10uF","C_0805_2012Metric",10.287000,-92.885500,90.000000,bottom
"D1","D_SOD-123","D_SOD-123",77.089000,-64.389000,90.000000,bottom
"D2","D_SOD-123","D_SOD-123",96.139000,-64.389000,90.000000,bottom
"D3","D_SOD-123","D_SOD-123",115.316000,-64.389000,90.000000,bottom
"D4","D_SOD-123","D_SOD-123",134.112000,-64.389000,90.000000,bottom
"D5","D_SOD-123","D_SOD-123",153.416000,-64.389000,90.000000,bottom
"D6","D_SOD-123","D_SOD-123",172.339000,-64.389000,90.000000,bottom
"D7","D_SOD-123","D_SOD-123",191.389000,-64.389000,90.000000,bottom
"D8","D_SOD-123","D_SOD-123",210.312000,-64.389000,90.000000,bottom
"D9","D_SOD-123","D_SOD-123",229.489000,-64.389000,90.000000,bottom
"D10","D_SOD-123","D_SOD-123",248.285000,-64.389000,90.000000,bottom
"D11","D_SOD-123","D_SOD-123",267.462000,-64.389000,90.000000,bottom
"D12","D_SOD-123","D_SOD-123",286.639000,-64.389000,90.000000,bottom
"D13","D_SOD-123","D_SOD-123",27.178000,-73.914000,90.000000,bottom
"D14","D_SOD-123","D_SOD-123",55.626000,-73.914000,90.000000,bottom
"D15","D_SOD-123","D_SOD-123",77.089000,-83.439000,90.000000,bottom
"D16","D_SOD-123","D_SOD-123",96.139000,-83.439000,90.000000,bottom
"D17","D_SOD-123","D_SOD-123",115.316000,-83.439000,90.000000,bottom
"D18","D_SOD-123","D_SOD-123",134.112000,-83.439000,90.000000,bottom
"D19","D_SOD-123","D_SOD-123",153.289000,-83.439000,90.000000,bottom
"D20","D_SOD-123","D_SOD-123",172.339000,-83.439000,90.000000,bottom
"D21","D_SOD-123","D_SOD-123",191.389000,-83.439000,90.000000,bottom
"D22","D_SOD-123","D_SOD-123",210.312000,-83.439000,90.000000,bottom
"D23","D_SOD-123","D_SOD-123",229.489000,-83.439000,90.000000,bottom
"D24","D_SOD-123","D_SOD-123",248.285000,-83.566000,90.000000,bottom
"D25","D_SOD-123","D_SOD-123",267.462000,-83.566000,90.000000,bottom
"D26","D_SOD-123","D_SOD-123",286.639000,-83.566000,90.000000,bottom
"D27","D_SOD-123","D_SOD-123",27.178000,-112.014000,90.000000,bottom
"D28","D_SOD-123","D_SOD-123",55.626000,-112.014000,90.000000,bottom
"D29","D_SOD-123","D_SOD-123",77.089000,-102.489000,90.000000,bottom
"D30","D_SOD-123","D_SOD-123",96.139000,-102.489000,90.000000,bottom
"D31","D_SOD-123","D_SOD-123",115.316000,-102.489000,90.000000,bottom
